"ID";"ARCHIP";"ISLAND";"LONG";"LAT";"Realm";"Area";"Dist";"SLMP";"Elev";"Lat";"pop";"static_modif";"modif_change";"GDP";"connect";"CP";"TSFI";"SR_nat";"FD_nat";"SES_FD_nat";"PD_nat";"SES_PD_nat";"SR_alien";"FD_alien";"SES_FD_alien";"PD_alien";"SES_PD_alien"
"54374";"Seychelles";"Saint Pierre Island";50,727514;-9,331684;"Madagascan";-0,947294016629218;0,231234601445692;-0,243636584152391;-1,43887621051969;-1,33587949532603;-0,922283340675051;-0,750354290766289;-0,31563331749219;-1,47000753957289;-1,14162737990484;NA;NA;-1,76113812118095;-2,79672233681215;-1,14628224826278;-1,80779051646715;-0,0844709353148631;-0,963321382214601;-1,59156372504743;-0,0600432245101844;-1,52505177546499;-0,779809107609493
"54434";"Chagos Archipelago";"Diego Garcia";72,434426;-7,340327;"Oriental";0,122627573698151;0,704098943421882;-0,492982484224675;-0,847376959095752;-1,49667348813655;-1,39662787484997;-0,750525386964531;-0,317785623107429;-1,47000753957289;-0,0434282559378816;-0,57072923050462;-1,15362603895293;-1,94829871602083;-2,44417068512454;-1,54651034597466;-2,04981664293987;-0,218101049486517;-0,331622696279836;0,577364331509922;1,87888771613686;0,153267613519808;1,38782704334518
"54440";"Seychelles";"Coetivy";56,279994;-7,129637;"Madagascan";-0,34782878707153;0,560443563251275;-0,50889817997397;-0,992353185114646;-1,51368585023197;-0,707266379733395;-0,750696483162774;-0,317785623107429;0,252885745692014;-0,655666525959731;NA;NA;-1,59127972177163;-2,75916862833533;-2,54735888831413;-1,6273055008754;-0,163081914432524;-0,963321382214601;-0,721985017692286;0,371547524587122;-0,949302811048829;0,44521984858948
"54442";"Seychelles";"Ile Alphonse";52,726477;-7,006184;"Madagascan";-0,937868034343938;0,369943702694325;-0,445235396976791;-1,12332059758886;-1,52365417876093;-0,916775794618404;-0,738370454994647;-0,311321649521989;-1,47000753957289;-0,655666525959731;-0,873512454605815;-0,090840503246488;-2,23175488828117;-3,77965581324867;-0,938098612041168;-2,5844731540396;-0,563548498853848;-0,615672508560102;-1,89238875570297;-0,536416811231702;-1,2489815913528;-0,93733358257939
"54450";"Chagos Archipelago";"Ile Sudest";71,382736;-6,68594;"Oriental";-0,819973600900799;0,688053433683597;-0,487677252308244;-1,43887621051969;-1,54951258156546;-1,39662787484997;-0,750696483162774;-0,317785623107429;-1,47000753957289;-1,97238294687881;NA;NA;-2,39175361090906;-5,50460285591829;-0,855454299810413;-2,73821960657368;-0,737294434634683;-0,615672508560102;-0,271751748106079;0,0580227391411521;-0,0931498617531779;1,53287889954208
"54454";"Chagos Archipelago";"Ile Sipaille";71,315549;-6,651823;"Oriental";-1,13010009773359;0,687652357848937;-0,487677252308244;-1,6234644109763;-1,55226739079992;-1,39662787484997;-0,750696483162774;-0,317785623107429;-1,47000753957289;-1,97238294687881;NA;NA;-2,39175361090906;-5,50460285591829;-0,686443406584079;-2,73821960657368;-0,601440534802437;-0,615672508560102;-0,271751748106079;-0,00571563850602864;-0,0931498617531779;1,59839102769769
"54476";"Chagos Archipelago";NA;71,327594;-6,189456;"Oriental";-0,758542781887385;0,660330355821165;-0,487677252308244;-1,30790879804547;-1,58960164883292;-1,39662787484997;-0,750696483162774;-0,317785623107429;-1,47000753957289;-1,97238294687881;NA;NA;-2,39175361090906;-5,50460285591829;-1,3160321102183;-2,73821960657368;-0,820223968902404;-0,963321382214601;-0,669443592003612;0,446440390884972;-0,639094421950705;1,13042264176279
"54501";"Seychelles";NA;53,306922;-5,768057;"Madagascan";-0,882776998903521;0,317099166968598;-0,50889817997397;-0,992353185114646;-1,62362790719662;-0,867496206090784;-0,750354290766289;-0,31563331749219;-1,47000753957289;-1,14162737990484;NA;NA;-1,53797670517413;-2,63960049303523;-1,60413316828293;-1,66462831551093;-0,501421022932438;0,116574654122756;0,0233246361809135;-1,31576861390847;0,23729539313835;0,28814348783607
"54503";"Seychelles";NA;53,305259;-5,747612;"Madagascan";-1,10553604186039;0,315590285623608;-0,50889817997397;-1,30790879804547;-1,62527875793961;-0,795520932988504;-0,750354290766289;-0,31563331749219;-1,47000753957289;-1,14162737990484;NA;NA;-2,23175488828117;-3,77965581324867;-1,05646226679975;-2,5844731540396;-0,619091342350142;0,116574654122756;0,0233246361809135;-1,09022857670532;0,23729539313835;0,131609839385673
"54506";"Seychelles";"Ile Desroches";53,66904;-5,689396;"Madagascan";-0,645211166538387;0,333966874393736;-0,514203411890402;-0,649198181704396;-1,62997946358178;-0,745531080046017;-0,749070132457662;-0,310248178275464;-1,47000753957289;-0,655666525959731;-0,189267481455402;0,222157007715634;-1,53797670517413;-2,63960049303523;-1,60178209977783;-1,66462831551093;-0,446801857202317;0,30007598965493;0,504445467019013;-0,392245514920456;0,347537972782195;-0,167330850250454
